Experiment	Voltage	Volume	Salinity	Temperature	Delay	Surfactant	SpanTriton	SolidPart
1	0.64	40	1	4	0.25	2	0.25	0.5
2	0.80	80	1	4	0.25	4	0.25	2.0
3	3.20	40	4	4	0.25	4	0.75	0.5
4	0.48	80	4	4	0.25	2	0.75	2.0
5	1.72	40	1	23	0.25	4	0.75	2.0
6	0.32	80	1	23	0.25	2	0.75	0.5
7	0.64	40	4	23	0.25	2	0.25	2.0
8	0.68	80	4	23	0.25	4	0.25	0.5
9	0.12	40	1	4	24.00	2	0.75	2.0
10	0.88	80	1	4	24.00	4	0.75	0.5
11	2.32	40	4	4	24.00	4	0.25	2.0
12	0.40	80	4	4	24.00	2	0.25	0.5
13	1.04	40	1	23	24.00	4	0.25	0.5
14	0.12	80	1	23	24.00	2	0.25	2.0
15	1.28	40	4	23	24.00	2	0.75	0.5
16	0.72	80	4	23	24.00	4	0.75	2.0
17	1.08	0	0	0	0.00	0	0.00	0.0
18	1.08	0	0	0	0.00	0	0.00	0.0
19	1.04	0	0	0	0.00	0	0.00	0.0
