"","grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
"2",11,1,"White",0,0,1,1,1,1,0,1,1,1,1,1,1,1,450,25,1,1,0,1173,575.01
"4",10,0,"Black",1,1,0,0,1,1,0,1,1,1,1,1,1,1,200,23,1,1,1,2640,458.11
"5",10,1,"Hispanic",1,0,1,0,1,1,0,0,1,1,0,1,1,1,250,35,1,1,1,1095,613.89
"8",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,1,300,30,1,1,0,1913,439.36
"10",10,1,"More than one race",1,1,1,1,1,0,0,1,1,1,1,1,1,0,294,24,1,1,0,899,465.9
"12",10,0,"Hispanic",1,1,1,0,1,1,0,0,0,0,0,0,0,1,232,14,1,1,0,1733,508.95
"14",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,20,1,1,0,149,646.38
"15",10,0,"Hispanic",1,0,0,0,0,0,0,1,0,0,0,0,1,1,270,25,1,1,1,1400,403.77
"16",11,1,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,275,30,1,1,1,1988,423.73
"17",9,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,15,1,0,1,915,646.6
"18",11,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,250,20,1,1,0,636,532.86
"19",10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,250,12,1,1,0,854,547.32
"20",10,1,"White",1,1,1,1,1,1,1,0,1,1,1,1,1,1,315,40,1,1,1,2999,569.32
"22",10,1,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,0,225,30,1,1,0,2748,563.55
"23",9,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,0,1,235,32,1,1,0,149,493.38
"24",10,0,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,1,600,30,1,1,0,361,472.41
"25",10,0,"White",1,1,1,1,0,1,1,1,0,1,0,1,1,1,240,26,1,0,1,575,513.72
"26",11,1,"Black",1,1,1,0,0,1,0,0,1,1,1,1,1,0,1296,30,1,1,1,3261,577.9
"27",10,1,"White",0,1,1,1,1,1,0,1,1,1,1,1,1,1,300,30,1,1,0,2340,555.85
"28",10,1,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,1,250,25,1,1,0,1913,649.65
"32",10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,90,20,1,1,0,2569,596.41
"34",9,1,"White",0,1,1,1,0,1,1,1,1,1,1,1,1,1,180,25,1,0,1,1212,561.94
"35",11,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,1,250,25,1,1,0,509,637.65
"37",10,1,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,0,315,25,1,1,0,899,488.43
"38",10,0,"Black",0,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,1526,490.68
"39",10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,276,591.57
"41",10,0,"Hispanic",1,1,1,0,0,1,0,1,1,1,1,1,0,1,225,30,1,1,0,1250,444.29
"43",10,0,"White",1,1,1,1,0,1,1,1,0,1,1,1,1,0,250,30,1,1,0,2878,639.55
"45",10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,0,1,225,25,1,1,0,276,453.9
"46",11,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,290,12,1,1,0,929,566.75
"47",10,1,"Black",1,1,1,1,1,1,0,0,1,1,1,1,1,0,225,6,1,1,0,1897,494.04
"48",10,1,"Black",1,1,1,0,1,0,0,1,1,1,1,1,1,0,200,14,1,1,1,2640,506.15
"50",10,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,460,27,1,1,0,1087,637.33
"51",11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,232,25,1,1,0,2710,614.85
"52",11,0,"Hispanic",1,1,0,0,0,0,0,1,1,0,0,1,1,0,70,25,1,1,0,1101,416.09
"55",10,1,"White",0,0,1,0,1,0,0,1,1,1,1,1,0,1,275,25,1,1,0,2000,570.04
"56",10,1,"White",1,0,1,0,1,1,0,0,1,1,1,1,1,0,225,25,1,1,1,1046,505.58
"60",10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,0,270,22,1,1,0,196,548.55
"63",10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,1,225,25,1,1,0,1375,497.12
"64",9,0,"More than one race",1,1,1,0,0,1,0,0,1,1,1,1,0,0,40,13,1,1,0,1380,401.15
"65",10,0,"Black",1,1,1,0,1,1,0,1,1,0,1,1,1,1,205,25,1,1,1,673,493.62
"67",11,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,300,40,0,1,1,3138,566.39
"69",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,18,1,0,1,1212,398.24
"72",11,1,"Hispanic",1,1,1,0,1,1,0,1,0,0,0,0,1,0,50,20,1,1,1,1723,467.35
"73",10,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,200,20,1,1,0,1680,589.66
"74",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,240,17,1,0,1,575,608.6
"75",11,0,"Hispanic",0,1,1,1,0,1,0,1,0,0,0,1,1,0,50,20,1,1,0,868,644.16
"76",10,0,"Hispanic",0,1,0,0,1,0,0,1,1,0,0,0,0,1,450,16,1,1,0,3004,514.04
"78",10,1,"Black",1,1,1,0,1,1,0,0,1,0,0,1,1,0,300,30,1,1,1,3261,616.22
"81",10,0,"Black",1,1,1,1,1,1,0,0,1,1,1,1,1,0,300,25,1,1,1,1276,426.89
"84",11,0,"Hispanic",1,0,1,0,1,0,0,1,0,0,0,0,1,0,270,25,1,1,0,1489,449.61
"86",9,1,"Hispanic",0,1,1,0,0,1,0,1,1,1,1,1,1,0,270,30,1,1,0,1900,429.67
